"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Escudero, A; Romao, RL; de la Cruz, M; Maestre, FT","Spatial pattern and neighbour effects on Helianthemum squamatum seedlings in a Mediterranean gypsum community","10.1111/j.1654-1103.2005.tb02377.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","neighbourhood",0.1256,NA,"obs",""
"Escudero, A; Romao, RL; de la Cruz, M; Maestre, FT","Spatial pattern and neighbour effects on Helianthemum squamatum seedlings in a Mediterranean gypsum community","10.1111/j.1654-1103.2005.tb02377.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","neighbourhood",0.2826,NA,"obs",""
"Epstein, HE; Calef, MP; Walker, MD; Chapin, FS; Starfield, AM","Detecting changes in arctic tundra plant communities in response to warming over decadal time scales","10.1111/j.1529-8817.2003.00810.x","GLOBAL CHANGE BIOLOGY","desert and tundra","North America","patch",1,NA,"sim",""
"Arroyo-Rodriguez, Victor; Roes, Matthias; Escobar, Federico; Melo, Felipe P. L.; Santos, Braulio A.; Tabarelli, Marcelo; Chazdon, Robin","Plant beta-diversity in fragmented rain forests: testing floristic homogenization and differentiation hypotheses","10.1111/1365-2745.12153","JOURNAL OF ECOLOGY","forest","North America","patch",5000,NA,"obs",""
"Arroyo-Rodriguez, Victor; Roes, Matthias; Escobar, Federico; Melo, Felipe P. L.; Santos, Braulio A.; Tabarelli, Marcelo; Chazdon, Robin","Plant beta-diversity in fragmented rain forests: testing floristic homogenization and differentiation hypotheses","10.1111/1365-2745.12153","JOURNAL OF ECOLOGY","forest","North America","patch",7e+06,NA,"obs",""
"Akashi, Nobuhiro","Responses of understory vascular plant communities up to 6 years after retention harvesting in planted Abies sachalinensis forests","10.1016/j.foreco.2023.120991","FOREST ECOLOGY AND MANAGEMENT","forest","Asia","patch",10000,NA,"exp",""
"Buler, Jeffrey J.; Moore, Frank R.; Woltmann, Stefan","A multi-scale examination of stopover habitat use by birds","10.1890/06-1871.1","ECOLOGY","forest","North America","patch",0.25,NA,"obs",""
"Jahnke, Marlene; Pages, Jordi F.; Alcoverro, Teresa; Lavery, Paul S.; McMahon, Kathryn M.; Procaccini, Gabriele","Should we sync? Seascape-level genetic and ecological factors determine seagrass flowering patterns","10.1111/1365-2745.12470","JOURNAL OF ECOLOGY","grassland","Europe","patch",5.6,NA,"obs",""
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",1,NA,"exp",""
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",10000,NA,"exp",""
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",13750,NA,"exp",""
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",0.0625,NA,"exp",""
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",0.25,NA,"exp",""
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",1,NA,"exp",""
"Reitalu, T.; Prentice, H. C.; Sykes, M. T.; Lonn, M.; Johansson, L. J.; Hall, K.","Plant species segregation on different spatial scales in semi-natural grasslands","10.3170/2008-8-18381","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","patch",200,NA,"obs","min size"
"Reitalu, T.; Prentice, H. C.; Sykes, M. T.; Lonn, M.; Johansson, L. J.; Hall, K.","Plant species segregation on different spatial scales in semi-natural grasslands","10.3170/2008-8-18381","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","patch",116300,NA,"obs","max size"
"Weis, Jerome J.; Vasseur, David A.","Differential predation drives overyielding of prey species in a patchy environment","10.1111/j.1600-0706.2013.00632.x","OIKOS",NA,NA,"patch",NA,NA,"sim",""
"Baiser, Benjamin; Buckley, Hannah L.; Gotelli, Nicholas J.; Ellison, Aaron M.","Predicting food-web structure with metacommunity models","10.1111/j.1600-0706.2012.00005.x","OIKOS","palustrine wetland","North America","patch",NA,NA,"obs",""
"Gunnarsson, Urban; Soderstrom, Lars","Can artificial introductions of diaspore fragments work as a conservation tool for maintaining populations of the rare peatmoss Sphagnum angermanicum?","10.1016/j.biocon.2006.10.014","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","patch",0.04,NA,"exp",""
"Moran-Lopez, Teresa; Gonzalez-Castro, Aaron; Morales, Juan Manuel; Nogales, Manuel","Behavioural complementarity among frugivorous birds and lizards can promote plant diversity in island ecosystems","10.1111/1365-2435.13476","FUNCTIONAL ECOLOGY","shrubland","Europe","patch",40000,NA,"exp",""
"Hoffman, Oren; de Falco, Natalie; Yizhaq, Hezi; Boeken, Bertrand","Annual plant diversity decreases across scales following widespread ecosystem engineer shrub mortality","10.1111/jvs.12372","JOURNAL OF VEGETATION SCIENCE","shrubland","Asia","patch",NA,NA,"obs",""
"Groeneveld, J.; Enright, N. J.; Lamont, Byron B.","Simulating the effects of different spatio-temporal fire regimes on plant metapopulation persistence in a Mediterranean-type region","10.1111/j.1365-2664.2008.01539.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","patch",70600,NA,"sim",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","desert and tundra","North America","plot",1.8,NA,"obs",""
"Quested, HM; Cornelissen, JHC; Press, MC; Callaghan, TV; Aerts, R; Trosien, F; Riemann, P; Gwynn-Jones, D; Kondratchuk, A; Jonasson, SE","Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasites","10.1890/02-0426","ECOLOGY","desert and tundra","Europe","plot",1,NA,"exp",""
"Virtanen, Risto; Oksanen, Jari; Oksanen, Lauri; Razzhivin, Vladimir Yu","Broad-scale vegetation-environment relationships in Eurasian high-latitude areas","10.1111/j.1654-1103.2006.tb02473.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","plot",NA,NA,"obs",""
"Epstein, HE; Calef, MP; Walker, MD; Chapin, FS; Starfield, AM","Detecting changes in arctic tundra plant communities in response to warming over decadal time scales","10.1111/j.1529-8817.2003.00810.x","GLOBAL CHANGE BIOLOGY","desert and tundra","North America","plot",0.1,NA,"sim",""
"Epstein, HE; Calef, MP; Walker, MD; Chapin, FS; Starfield, AM","Detecting changes in arctic tundra plant communities in response to warming over decadal time scales","10.1111/j.1529-8817.2003.00810.x","GLOBAL CHANGE BIOLOGY","desert and tundra","North America","plot",1,NA,"sim",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","desert and tundra","North America","plot",1,NA,"obs",""
"Jabis, Meredith D.; Winkler, Daniel E.; Kueppers, Lara M.","Warming acts through earlier snowmelt to advance but not extend alpine community flowering","10.1002/ecy.3108","ECOLOGY","desert and tundra","North America","plot",7.069,NA,"exp",""
"Tewksbury, JJ; Lloyd, JD","Positive interactions under nurse-plants: spatial scale, stress gradients and benefactor size","10.1007/s004420000614","OECOLOGIA","desert and tundra","North America","plot",NA,NA,"obs",""
"Choler, P; Michalet, R; Callaway, RM","Facilitation and competition on gradients in alpine plant communities","10.1890/0012-9658(2001)082[3295:FACOGI]2.0.CO;2","ECOLOGY","desert and tundra","Europe","plot",0.01,NA,"exp",""
"Marushia, Robin G.; Cadotte, Marc W.; Holt, Jodie S.","Phenology as a basis for management of exotic annual plants in desert invasions","10.1111/j.1365-2664.2010.01881.x","JOURNAL OF APPLIED ECOLOGY","desert and tundra","North America","plot",8,NA,"exp",""
"Kapfer, Jutta; Virtanen, Risto; Grytnes, John-Arvid","Changes in arctic vegetation on Jan Mayen Island over 19 and 80 years","10.1111/j.1654-1103.2012.01395.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","plot",1,NA,"obs",""
"Rey, Pedro J.; Alcantara, Julio M.; Manzaneda, Antonio J.; Sanchez-Lafuente, Alfonso M.","Facilitation contributes to Mediterranean woody plant diversity but does not shape the diversity-productivity relationship along aridity gradients","10.1111/nph.13916","NEW PHYTOLOGIST","forest","Europe","plot",3250,NA,"obs",""
"Banares-de-Dios, Guillermo; Macia, Manuel J.; Granzow-de la Cerda, Inigo; Arnelas, Itziar; Martins de Carvalho, Gabriel; Espinosa, Carlos Ivan; Salinas, Norma; Swenson, Nathan; Cayuela, Luis","Linking patterns and processes of tree community assembly across spatial scales in tropical montane forests","10.1002/ecy.3058","ECOLOGY","forest","South America","plot",1000,NA,"obs","one in ecuador, one in peru "
"Banares-de-Dios, Guillermo; Macia, Manuel J.; Granzow-de la Cerda, Inigo; Arnelas, Itziar; Martins de Carvalho, Gabriel; Espinosa, Carlos Ivan; Salinas, Norma; Swenson, Nathan; Cayuela, Luis","Linking patterns and processes of tree community assembly across spatial scales in tropical montane forests","10.1002/ecy.3058","ECOLOGY","forest","South America","plot",1000,NA,"obs",""
"Rueger, Nadja; Comita, Liza S.; Condit, Richard; Purves, Drew; Rosenbaum, Benjamin; Visser, Marco D.; Wright, S. J.; Wirth, Christian","Beyond the fast-slow continuum: demographic dimensions structuring a tropical tree community","10.1111/ele.12974","ECOLOGY LETTERS","forest","Central America","plot",500,NA,"obs",""
"Norghauer, Julian M.; Newbery, David M.","Recruitment limitation after mast-seeding in two African rain forest trees","10.1890/09-0071.1","ECOLOGY","forest","Africa","plot",3.14,NA,"exp",""
"Wolk, Brett; Rocca, Monique E.","Thinning and chipping small-diameter ponderosa pine changes understory plant communities on the Colorado Front Range","10.1016/j.foreco.2008.08.014","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",1000,NA,"exp",""
"Chudomelova, Marketa; Zeleny, David","Tracing the signs of local dispersal in the temperate forest understorey using spatially structured vegetation data","10.1111/jvs.12835","JOURNAL OF VEGETATION SCIENCE","forest","Europe","plot",4,NA,"obs",""
"Reilly, MJ; Wimberly, MC; Newell, CL","Wildfire effects on plant species richness at multiple spatial scales in forest communities of the southern Appalachians","10.1111/j.1365-2745.2005.01055.x","JOURNAL OF ECOLOGY","forest","North America","plot",100,NA,"obs"," Each of the plots consisted of a set of 10 × 10 m adjacent modules. Of the burned plots, 17 consisted of four modules (400 m2) and three consisted of two modules (200 m2). In each module two corners were sampled for the presence of all vascular plant species in a series of four nested quadrats increasing in size from 0.01 m2 to 10 m2."
"Hernandez-Hernandez, Raquel; Borges, Paulo A. V.; Gabriel, Rosalina; Rigal, Francois; Ah-Peng, Claudine; Maria Gonzalez-Mancebo, Juana","Scaling alpha- and beta-diversity: bryophytes along an elevational gradient on a subtropical oceanic Island (La Palma, Canary Islands)","10.1111/jvs.12573","JOURNAL OF VEGETATION SCIENCE","forest","Europe","plot",100,NA,"obs",""
"Morin, Xavier; Bugmann, Harald; de Coligny, Francois; Martin-StPaul, Nicolas; Cailleret, Maxime; Limousin, Jean-Marc; Ourcival, Jean-Marc; Prevosto, Bernard; Simioni, Guillaume; Toigo, Maude; Vennetier, Michel; Catteau, Eugenie; Guillemot, Joannes","Beyond forest succession: A gap model to study ecosystem functioning and tree community composition under climate change","10.1111/1365-2435.13760","FUNCTIONAL ECOLOGY","forest","Europe","plot",5000,NA,"sim","we primarily relied on the RENECOFOR permanent forest plot network (Ulrich, 1997) that includes 103 half-hectare plots"
"Fichtner, Andreas; Schnabel, Florian; Bruelheide, Helge; Kunz, Matthias; Mausolf, Katharina; Schuldt, Andreas; Haerdtle, Werner; von Oheimb, Goddert","Neighbourhood diversity mitigates drought impacts on tree growth","10.1111/1365-2745.13353","JOURNAL OF ECOLOGY","forest","Asia","plot",665.64,NA,"exp",""
"Anderson, CB; Griffith, CR; Rosemond, AD; Rozzi, R; Dollenz, O","The effects of invasive North American beavers on riparian plant communities in Cape Horn, Chile - Do exotic beavers engineer differently in sub-Antarctic ecosystems?","10.1016/j.biocon.2005.10.011","BIOLOGICAL CONSERVATION","forest","South America","plot",0.5,NA,"obs",""
"Arroyo-Rodriguez, Victor; Roes, Matthias; Escobar, Federico; Melo, Felipe P. L.; Santos, Braulio A.; Tabarelli, Marcelo; Chazdon, Robin","Plant beta-diversity in fragmented rain forests: testing floristic homogenization and differentiation hypotheses","10.1111/1365-2745.12153","JOURNAL OF ECOLOGY","forest","North America","plot",1000,NA,"obs",""
"Thomas, Frank M.; Krug, Katharina; Zoldan, Joerg; Schroeck, Hans-Werner","Long-term effects of liming on the species composition of the herb layer in temperate Central-European forests","10.1016/j.foreco.2019.01.026","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",100,NA,"obs",""
"Thomas, Frank M.; Krug, Katharina; Zoldan, Joerg; Schroeck, Hans-Werner","Long-term effects of liming on the species composition of the herb layer in temperate Central-European forests","10.1016/j.foreco.2019.01.026","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",60,NA,"obs",""
"Greenwood, Sarah; Chen, Jan-Chang; Chen, Chaur-Tzuhn; Jump, Alistair S.","Temperature and sheltering determine patterns of seedling establishment in an advancing subtropical treeline","10.1111/jvs.12269","JOURNAL OF VEGETATION SCIENCE","forest","Asia","plot",25,NA,"obs",""
"Souza, Yuri; Villar, Nacho; Zipparro, Valesca; Nazareth, Sergio; Galetti, Mauro","Large mammalian herbivores modulate plant growth form diversity in a tropical rainforest","10.1111/1365-2745.13846","JOURNAL OF ECOLOGY","forest","South America","plot",15,NA,"exp",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","forest","North America","plot",NA,NA,"obs",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","forest","North America","plot",1,NA,"obs",""
"Widenfalk, Olof; Weslien, Jan","Plant species richness in managed boreal forests-Effects of stand succession and thinning","10.1016/j.foreco.2008.12.010","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",100,NA,"obs",""
"Hofmockel, Kirsten S.; Gallet-Budynek, Anne; McCarthy, Heather R.; Currie, William S.; Jackson, Robert B.; Finzi, Adrien C.","Sources of increased N uptake in forest trees growing under elevated CO2: results of a large-scale N-15 study","10.1111/j.1365-2486.2011.02465.x","GLOBAL CHANGE BIOLOGY","forest","North America","plot",706.9,NA,"exp",""
"Collet, Catherine; Manso, Ruben; Barbeito, Ignacio","Coexistence, association and competitive ability of Quercus petraea and Quercus robur seedlings in naturally regenerated mixed stands","10.1016/j.foreco.2017.01.021","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",2.0106,NA,"obs",""
"Norden, Jenni; Penttila, Reijo; Siitonen, Juha; Tomppo, Erkki; Ovaskainen, Otso","Specialist species of wood-inhabiting fungi struggle while generalists thrive in fragmented boreal forests","10.1111/1365-2745.12085","JOURNAL OF ECOLOGY","forest","Europe","plot",2000,NA,"obs",""
"Norden, Jenni; Penttila, Reijo; Siitonen, Juha; Tomppo, Erkki; Ovaskainen, Otso","Specialist species of wood-inhabiting fungi struggle while generalists thrive in fragmented boreal forests","10.1111/1365-2745.12085","JOURNAL OF ECOLOGY","forest","Europe","plot",40000,NA,"obs",""
